_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
6.022056521477348	6.380740143295017 	-0.35868362181766944	16.852911522188794	13.616257161495168	5.929997203955361	10.922914318233433	-9.008355885651829	0	60	100.36760869128913	5	1	0	6.022056521477348	-0.35868362181766944		wk
6.693689553920018	6.961912339549657 	-0.2682227856296384	24.227128067247953	19.470179412705406	8.015003335667245	14.314396027083538	-12.10658800202713	0	59	109.7021343559114	4	1	0.3333333333333333	6.357873037698683	-0.31345320372365393		wk
5.635188590765574	6.835222155948219 	-1.200033565182645	31.129900226749	21.248456354043686	5.9300856693661	8.895127095238818	-25.199813614404057	0	56	87.6584891896867	5	0.75	0.3333333333333333	6.116978222054313	-0.608979990876651		wk
5.291656532992309	6.571564532374561 	-1.2799079993822522	19.512406960587278	16.893336608183464	5.930093666762019	5.930096027034587	-7.157238951418559	0	61	89.66418014236967	6	0.8	0.25	5.910647799788812	-0.7767119930030513		wk
1.6579643228825296	1.6872550168583713 	-0.02929069397584172	8.015003335667245	3.7856299872414465	1.498774060460518	2.226389815604747	-6.353288728944393	0	374	172.24407132168503	7	0.6666666666666666	0.25	5.0601111044075555	-0.6272277331976094		wk
9.272714161435797	14.126406809240295 	-4.853692647804499	38.19199612864291	36.45097794119735	14.314458404856634	34.1844944620839	-23.23659239221127	2	77	198.33305289737675	6	0.7142857142857143	0.4	5.762211613912263	-1.3316385522987575		wk
5.627082028091938	6.955161048410425 	-1.3280790203184871	16.853097786126376	14.21376467339528	4.9851299634388315	8.420332412369504	-11.867966842019035	0	20	31.26156682273299	6	0.7142857142857143	0.4	5.742907387366502	-1.3311300477301475		wk
3.037358520658676	13.729286908295931 	-10.691928387637255	28.84912434027993	27.951048053071606	14.83573424828188	19.638093120953208	-11.906855953973825	0	269	226.95817834921775	6	0.7142857142857143	0.4	5.404713779028024	-2.501229840218536		wk
0.03821013423248887	7.464476429338605 	-7.4262662951061165	82.52444166409092	35.506767560435485	4.98510519592467	77.53933646816624	-73.62945997293262	0	14493	153.82763206429476	6	0.6666666666666666	0.3333333333333333	4.808435596272965	-3.048456112983823		wk
5.04451444693749	5.49669347711632 	-0.4521790301788302	17.091701491870854	13.028143905166813	4.007501671657446	7.121476275565966	-14.126690183057498	0	44	61.655176573680436	6	0.7272727272727273	0.25	4.832043481339417	-2.7888284047033234		wk
