_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
3.7573396707455298	3.4029012546247057 	0.35443841612082405	6.751900956201846	5.639150544549678	3.6677772919635143	0.5951074244494942	-1.1688546534721973	0	34	35.48598577926333	9	1	0	3.7573396707455298	0.35443841612082405		wk
17.173188552793466	15.361863033499022 	1.811325519294444	40.65161254261373	23.042794550248534	23.042794550248534	5.869605997455064	0	0	9	42.93297138198367	9	1	0	10.465264111769498	1.082881967707634		wk
3.7464902804893714	3.1835414167697014 	0.56294886371967	8.059651461758358	5.157476373632502	3.7063888295695735	0.8490900663085279	-0.24709258855412775	0	28	29.139368848250665	12	0.5	0	8.225672834676123	0.9095709330449794		wk
5.460788357407227	4.660187887570544 	0.8006004698366835	6.918574914588318	6.753846574429846	6.671482404350611	0.6465292000041898	-1.2930580340368587	0	18	27.303941787036134	12	0.5	0	7.534451715358899	0.8823283172429054		wk
7.215178324734092	5.650281692357791 	1.5648966323763007	8.346118345824195	7.53370892314372	7.9954218941017645	0.3477553027198317	-0.5786117881988533	0	12	24.050594415780306	12	0.5	0	7.470597037233938	1.0188419802695843		wk
3.1608283037267264	2.9298018743987475 	0.2310264293279789	5.119208238978144	4.513731149063088	4.210992604105559	0.3734103204321932	-1.3371307713912228	0	24	21.07218869151151	12	0.5	0	6.752302248316069	0.8875393884459836		wk
4.034191080755783	4.664805445672146 	-0.6306143649163625	10.68667111592247	6.2197405942295285	6.091965267902258	0.587072381137241	-1.5315686160067374	0	24	26.894607205038554	15	0.3333333333333333	0	6.364000652950314	0.6706602808227913		wk
4.27016841698357	3.2026263127376775 	1.0675421042458928	4.675418613534733	4.27016841698357	4.1275849683077475	0.0913056075378309	-0.11131949073775053	0	18	21.35084208491785	15	0.3333333333333333	0	6.102271623454471	0.7202705087506789		wk
5.723615514478108	4.071449422172964 	1.6521660923051442	7.347086392515349	5.428599229563951	4.985193491183334	1.1311895291740588	-0.3936488168886692	0	15	23.848397976992118	15	0.3333333333333333	0	6.0601987224570975	0.8238144624789528		wk
5.888087321156897	4.681929992893901 	1.2061573282629965	8.01500333736672	6.242573323858534	6.0112525028126065	0.2182980619027215	-1.104513068656814	0	15	24.53369717148707	15	0.3333333333333333	0	6.042987582327077	0.8620487490573572		wk
4.398492436774901	3.4590626643834774 	0.9394297723914233	6.0112525028126065	4.6120835525113035	4.708052412364815	0.32158964005067975	-0.26518444500138766	0	21	25.657872547853586	15	0.3333333333333333	0	5.893488023640515	0.8690833875422722		wk
3.946753580914911	2.960065185686183 	0.986688395228728	4.7787507174005714	3.9467535809149106	3.5787313650787103	0.015992117468876705	-0.21599534285585356	0	18	19.733767904574552	15	0.3333333333333333	0	5.731260153413381	0.8788838048494769		wk
5.204050612461639	4.403453504680575 	0.8005971077810639	8.07571720671691	5.8712713395741005	6.031532852172993	0.34069739242398606	0	0	17	24.574683447735516	15	0.3333333333333333	0	5.690705573340171	0.8728617512288298		wk
5.167336728982502	3.897502400359218 	1.2698343286232836	5.545209095517963	5.196669867145624	5.343335557961235	0.10697843500059356	0	0	15	21.530569704093757	15	0.3333333333333333	0	5.65332208445748	0.9012169353284337		wk
5.92570524317858	5.403380719702358 	0.5223245234762226	9.350837226219728	7.204507626269809	8.255183984047965	0.5937039508531101	-0.3652177473905874	0	15	24.690438513244086	15	0.3333333333333333	0	5.671480961705554	0.8759574412049529		wk
7.333988939608185	5.500491704706137 	1.8334972349020475	8.01500333736672	7.333988939608183	7.307794032944115	0.44527796295100125	-0.2095415281434665	0	9	18.33497234902046	15	0.3333333333333333	0	5.775387710324469	0.9358036783110213		wk
3.910029418525294	3.0230461579620687 	0.8869832605632255	4.778754772026363	4.0307282106160915	4.127593193841407	0.10852692969749267	-0.265486351007643	0	21	22.808504941397548	15	0.3333333333333333	0	5.665660751983341	0.9329318890317392		wk
3.7002815942311376	2.775211195673353 	0.9250703985577844	4.037859774718703	3.7002815942311376	4.007501668258492	0.15866972142371227	0	0	18	18.501407971155686	15	0.3333333333333333	0	5.556473020997108	0.9324951395609639		wk
4.541386203981816	3.4060396529863617 	1.135346550995454	5.343335557961235	4.541386203981816	4.904868437753398	0.2548189702537642	-0.327896823621737	0	18	22.706931019909078	15	0.3333333333333333	0	5.503047399048935	0.9431715296364633		wk
3.8166682558079876	3.757032814417205 	0.059635441390782695	8.01500333821646	5.009377085889606	4.675418612684994	0.5565974542552442	0	0	21	22.263898158879925	15	0.3333333333333333	0	5.418728441886887	0.8989947252241792		wk
