_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
4.157651105538536	4.116413887903475 	0.04123721763506083	8.018848046912627	6.181704119009022	5.263132155057221	0.5952123187734785	-1.3472443644507923	0	21	24.252964782308123	0	1.1	1.1	4.157651105538536	0.04123721763506083		wk
4.612736803543297	3.404583797393909 	1.208153006149388	5.43592480406462	4.539445063191878	4.172986361434788	0.02726038955975992	-0.23775012999806533	0	15	19.2197366814304	0	1.1	1.1	4.385193954540917	0.6246951118922244		wk
12.243578984386948	9.18268423829021 	3.0608947460967375	14.990336043048549	12.243578984386948	14.694172785030698	2.549314886649701	0	0	9	30.60894746096737	0	1.1	1.1	7.004655631156261	1.436761656627062		wk
6.13878622777357	5.150440498243253 	0.9883457295303177	8.741613238609213	6.867253997657671	7.906765836242533	0.7980383867479911	-1.3177943060404222	0	12	20.462620759245233	0	1.1	1.1	6.788188280310589	1.324657674852876		wk
4.816872170845399	3.9721051691027043 	0.8447670017426949	6.646841814875796	5.384113967510218	4.7527500438274295	0.2707232155988579	-0.8246216545989832	0	18	24.084360854226997	0	1.1	1.1	6.393925058417551	1.2286795402308397		wk
10.10486845799061	7.578651343492957 	2.526217114497653	12.998519090016575	10.10486845799061	10.953619146915626	1.5303840032919984	-2.2120173176589817	0	9	25.262171144976527	0	1.1	1.1	7.012415625013062	1.4449358026086419		wk
8.374312191569338	7.188290728427242 	1.1860214631420956	20.896598519888233	10.589487310430322	5.435931705701364	5.318280808065327	-0.1647252033363714	0	15	34.89296746487224	0	1.1	1.1	7.206972277378243	1.4079480398277067		wk
3.9270539589457845	3.331852658894845 	0.5952013000509395	6.504135651236247	4.72946475513818	3.8421293070891465	0.39337474870109873	-1.084022822399583	0	18	19.63526979472892	0	1.1	1.1	6.796982487574186	1.3063546973556108		wk
4.304136318085356	3.228102238564017 	1.0760340795213392	4.941737274503753	4.304136318085356	4.447563546990556	0	-0.1540759023714664	0	18	21.520681590426776	0	1.1	1.1	6.519999579853205	1.2807635175962473		wk
1.1218122380366347	4.496490178043132 	-3.3746779400064972	9.287691873176913	5.995320237390842	8.345957864014906	0.14892301496993676	-2.6645489630114	0	66	20.566557697338304	60	0	1.1	5.980180845671548	0.8152193718359728		wk
8.608283458276034	6.456212593707024 	2.1520708645690103	9.883487096904766	8.608283458276032	8.895138387088645	0.32944956993870694	-0.9457540686900264	0	9	21.520708645690082	60	0	1.1	6.219099264999229	0.9367513257207943		wk
4.82586118787091	3.7183772886838007 	1.107483899187109	5.617712370115858	4.957836384911735	4.8082268852564125	0.13491424747657424	0	0	15	20.107754949462123	60	0	1.1	6.102996091905202	0.9509790401763206		wk
5.945916365520067	3.964822942511938 	1.981093423008129	5.964369040989818	5.947234413767907	5.947234413767907	0.004895607777688937	0	0	13	21.47136465326691	60	0	1.1	6.090913036029422	1.0302186080864597		wk
6.523483718748749	5.2768154723781855 	1.2466682463705636	9.616449819518683	7.035753963170914	6.504139084511808	1.0374369116689586	-1.5432589446788103	0	12	21.744945729162495	60	0	1.1	6.121810941937945	1.0456792965353243		wk
5.044940231620617	3.7837051737154637 	1.2612350579051537	5.629329954225123	5.044940231620618	5.332515969432852	0.1932568663714956	-0.2427258638368741	0	18	25.224701158103088	60	0	1.1	6.0500195612501235	1.0600496806266464		wk
4.967286695845996	3.7222703638319894 	1.2450163320140062	6.424249281378391	4.963027151775985	4.941729431425933	0.23643778148371686	-0.48352442314245997	0	15	20.697027899358314	60	0	1.1	5.982348757162366	1.0716100963383564		wk
