C C E A B C A A T A A 0 C D dr
B B E A A B C N F A A 0 C D dr
A A C A A A I K F A A 0 B D dr
A A C A A A C B F A A 0 B C dr
A A C A A A C B F A A 0 A C dr
A A C A A A C B F A A 0 A B dr
A A B A A A B H F A A 0 A B dr
A A B A A A N I F A A 0 A B dr
A A B A A A J K F A A 0 A B dr
A A B A A A F C F A A 0 A B dr
A A C A A A L C F A A 0 A B dr
D B E A A B J C T A A 0 A B dr
B B C B B B L J F A A 0 A B dr
B B C B B B J I F A A 0 A B dr
A B C A A A J J F A A 0 A B dr
B B D A B B N F F A A 0 A B dr
