A A B A A A P C F XXX NA NA A A dr
A A B A A A K M F XXX NA NA A A dr
A A B A A A E J F XXX NA NA A A dr
A A A A A A F C F XXX NA NA A A dr
A A A A A A J C F XXX NA NA A A dr
A A A A A A H D F XXX NA NA A A dr
A A A A A A L K F XXX NA NA A A dr
A A A A A A G L F XXX NA NA A A dr
A A A A A A J N F XXX NA NA A A dr
A A A A A A I N F XXX NA NA A A dr
A A A A A A M L F XXX NA NA A A dr
A A A A A A G F F XXX NA NA A A dr
A A A A A A I D F XXX NA NA A A dr
A A A A A A C B F XXX NA NA A A dr
A A A A A A M P F XXX NA NA A A dr
A A A A A A M L F XXX NA NA A A dr
A A A A A A M M F XXX NA NA A A dr
A A A A A A F C F XXX NA NA A A dr
A A A A A A L M F XXX NA NA A A dr
A A A A A A L O F XXX NA NA A A dr
A A A A A A M L F XXX NA NA A A dr
A A A A A A O P F XXX NA NA A A dr
A A A A A A M I F XXX NA NA A A dr
A A A A A A J M F XXX NA NA A A dr
A A A A A A M N F XXX NA NA A A dr
A A A A A A N N F XXX NA NA A A dr
A A A A A A K O F XXX NA NA A A dr
A A A A A A K I F XXX NA NA A A dr
A A A A A A G M F XXX NA NA A A dr
A A A A A A J J F XXX NA NA A A dr
A A A A A A M J F XXX NA NA A A dr
A A A A A A J M F XXX NA NA A A dr
A A A A A A M J F XXX NA NA A A dr
A A A A A A H L F XXX NA NA A A dr
A A A A A A I B F XXX NA NA A A dr
A A A A A A M M F XXX NA NA A A dr
A A A A A A L N F XXX NA NA A A dr
A A A A A A J D F XXX NA NA A A dr
A A A A A A J L F XXX NA NA A A dr
A A A A A A K K F XXX NA NA A A dr
A A A A A A R C F XXX NA NA A A dr
A A B A A A O C F XXX NA NA A A dr
A A C A A A P E F XXX NA NA A A dr
A A C A A A E F F XXX NA NA A A dr
A A B A A A F F F XXX NA NA A A dr
A A B A A A B C F XXX NA NA A A dr
A A B A A A K G F XXX NA NA A A dr
A A B A A A O J F XXX NA NA A A dr
B B D A A B N B T XXX NA NA A A dr
A A C A A A G N F XXX NA NA A A dr
A A B A A A J F F XXX NA NA A A dr
A A B A A A J N F XXX NA NA A A dr
A A B A A A N N F XXX NA NA A A dr
A A B A A A K N F XXX NA NA A A dr
A A B A A A J J F XXX NA NA A A dr
A A C A A A J F F XXX NA NA A A dr
C C D B C C K C F XXX NA NA A A dr
A A B A A A C R F XXX NA NA A A dr
A A B A A A F N F XXX NA NA A A dr
A A B A A A C C F XXX NA NA A A dr
A A B A A A J N F XXX NA NA A A dr
A A B A A A O N F XXX NA NA A A dr
A A B A A A N O F XXX NA NA A A dr
A A B A A A J F F XXX NA NA A A dr
A A B A A A C K F XXX NA NA A A dr
A A B A A A J N F XXX NA NA A A dr
A A B A A A J N F XXX NA NA A A dr
A A B A A A J J F XXX NA NA A A dr
A A B A A A R R F XXX NA NA A A dr
A A B A A A K K F XXX NA NA A A dr
A A B A A A J J F XXX NA NA A A dr
A A B A A A C J F XXX NA NA A A dr
A A B A A A J J F XXX NA NA A A dr
A A B A A A B C F XXX NA NA A A dr
A A B A A A F F F XXX NA NA A A dr
A A B A A A C J F XXX NA NA A A dr
A A B A A A F F F XXX NA NA A A dr
A A B A A A J N F XXX NA NA A A dr
A A B A A A F B F XXX NA NA A A dr
A A B A A A C J F XXX NA NA A A dr
A A B A A A B B F XXX NA NA A A dr
A A B A A A C B F XXX NA NA A A dr
E D E A C E N A F A A 0 A A dr
A B C A A A K M F A A 0 A A dr
A A B A A A G N F A A 0 A A dr
A A B A A A H P F A A 0 A A dr
A A B A A A K F F A A 0 A A dr
A A B A A A C I F A A 0 A A dr
A A B A A A J E F A A 0 A A dr
A A B A A A C B F A A 0 A A dr
C C C B C C C C F A A 0 A A dr
B B C A A B C J F A A 0 A A dr
A A B A A A F J F A A 0 A A dr
A A B A A A J J F A A 0 A A dr
A A B A A A N O F A A 0 A A dr
A A B A A A O K F A A 0 A A dr
A A B A A A J J F A A 0 A A dr
A A B A A A J K F A A 0 A A dr
A A B A A A J K F A A 0 A A dr
A A B A A A N F F A A 0 A A dr
B B C A B B N J F A A 0 A A dr
A A C A A A K XXX F A A 0 A A dr
A A B A A A E N F A A 0 A A dr
A A B A A A G G F A A 0 A A dr
A A B A A A I F F A A 0 A A dr
A A B A A A J M F A A 0 A A dr
A B C A A A J H F A A 0 A A dr
B B C A A B I L F A A 0 A A dr
A A B A A A G M F A A 0 A A dr
A A B A A A F J F A A 0 A A dr
A A B A A A J M F A A 0 A A dr
A A B A A A J J F A A 0 A A dr
A A B A A A G G F A A 0 A A dr
A A B A A A L G F A A 0 A A dr
A A B A A A M D F A A 0 A A dr
C C E B B B L D F A A 0 A A dr
A A C A A A G O F A A 0 A A dr
A A B A A A L P F A A 0 A A dr
A A B A A A L J F A A 0 A A dr
A A B A A A O J F A A 0 A A dr
A A B A A A M M F A A 0 A A dr
A A B A A A G J F A A 0 A A dr
A A A A A A K N F A A 0 A A dr
A A A A A A O N F A A 0 A A dr
A A A A A A I M F A A 0 A A dr
A A A A A A G D F A A 0 A A dr
A A A A A A M O F A A 0 A A dr
A A A A A A I L F A A 0 A A dr
A A A A A A G E F A A 0 A A dr
A A A A A A K I F A A 0 A A dr
A A A A A A I N F A A 0 A A dr
A A A A A A H D F A A 0 A A dr
A A A A A A H B F A A 0 A A dr
A A A A A A H M F A A 0 A A dr
A A A A A A G H F A A 0 A A dr
A A A A A A G G F A A 0 A A dr
A A A A A A J J F A A 0 A A dr
A A A A A A G C F A A 0 A A dr
A A A A A A N G F A A 0 A A dr
A A A A A A N N F A A 0 A A dr
A A A A A A C D F A A 0 A A dr
A A A A A A F F F A A 0 A A dr
A A A A A A F F F A A 0 A A dr
A A A A A A O N F A A 0 A A dr
A A A A A A B B F A A 0 A A dr
A A A A A A N J F A A 0 A A dr
A A A A A A J K F A A 0 A A dr
A A A A A A C C F A A 0 A A dr
A A A A A A J K F A A 0 A A dr
A A A A A A I K F A A 0 A A dr
A A A A A A L M F A A 0 A A dr
A A A A A A L L F A A 0 A A dr
