C C E B B C J J T B 0 NA C D dr
A B C A A A C F F B 0 NA B C dr
B B D A A A J C F B 0 NA B D dr
B B E A A A K J F B 0 NA B D dr
A A C A A A J O F B 0 NA B D dr
B B C A A B J L F B 0 NA B C dr
A A C A A A L L F B 0 NA B C dr
A A C A A A L L F B 0 NA B C dr
A A C A A A L M F B 0 NA A C dr
A A C A A A K J F B 0 NA A C dr
C B E A A B J C T B 0 NA B C dr
B B E A A B G C F B 0 NA B C dr
