_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
26.76093600605306	33.35582262660861 	-6.594886620555545	71.15225264353043	68.22860910230105	29.78158384370228	20.752740356554902	-11.858706896486744	1	34	252.7421733905011	11	0	1.1	26.76093600605306	-6.594886620555545		dr
63.82777935762494	59.572594067116626 	4.255185290508315	68.65709036039439	67.43615303354478	62.3871609391754	6.3988100005868205	-6.398790234716465	0	14	248.2191419463192	11	0	1.1	45.294357681839	-1.1698506650236151		dr
10.033828223692101	38.446765052080394 	-28.412936828388293	66.32215719392717	64.96680832095291	48.107598210867266	6.89122142828559	-12.066596975613106	1	85	236.90983305939682	39	0	1.1	33.5408478624567	-10.250879386145174		dr
45.961029641511104	43.66297815943555 	2.29805148207555	57.68137431160573	56.211084264908095	45.42707081199214	7.02911214252067	-7.5843587987004	0	19	242.57210088575303	39	0	1.1	36.645893307220305	-7.113646669089993		dr
51.27230431047703	48.42384295989497 	2.8484613505820633	60.18559451249805	59.9418832837633	54.996674055120614	6.231004373194708	-7.617983058499362	0	17	242.11921479947486	39	0	1.1	39.57117550787165	-5.121225065155582		dr
36.841809633482676	35.36813724814338 	1.4736723853392988	48.1813316632539	45.614334585118634	38.31336475389726	11.783204552714952	-7.858752188087173	0	24	245.61206422321786	39	0	1.1	39.11628119547349	-4.022075490073102		dr
18.95207972281032	21.410310693718284 	-2.4582309709079624	40.18454989816482	39.22999688985383	22.085943266851366	6.462020012782105	-14.144418726116601	1	47	247.42992971446807	11	0	1.1	36.23568098509303	-3.798669130192368		dr
11.38432310624293	19.171445540590476 	-7.7871224343475465	38.54496349857836	38.54496349354885	19.87499210384984	15.16114055484003	-17.64518414691907	1	77	243.49802199464042	24.5	0	1.1	33.12926125023677	-4.297225793211765		dr
9.440618571286155	18.79065222114985 	-9.350033649863693	40.075016683434654	36.609022928891754	24.045010009550946	28.05251167865918	-13.127087956426344	1	95	249.1274345200513	38	0	1.1	30.497189841464483	-4.8586488883953125		dr
11.594040651633374	19.808473075055502 	-8.214432423422128	83.88909741641157	55.637419963475935	20.75579391223625	69.06354209687552	-53.96837870982119	2	76	244.76308042337124	38	0.14285714285714285	0	28.60687492248137	-5.194227241897994		dr
17.58815612844029	27.20912191103714 	-9.620965782596851	47.4418071328578	43.488318811907014	31.26846761683344	8.895331780120266	-10.377888718016857	1	49	239.3943473037706	29.5	0.125	0	27.60517321393218	-5.596658018325163		dr
22.542939002461907	23.631017905403485 	-1.0880789029415787	50.05928941877045	44.489443801748166	23.72086216137342	13.991774401894808	-13.507517505906684	1	40	250.47710002735448	21	0.2222222222222222	0	27.18332036297632	-5.220943092043197		dr
