_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
53.40803171075054	48.06722853967549 	5.340803171075052	73.49743190415538	71.70090583642329	56.10502335986757	5.89061436132106	-1.7875799352949098	0	27	400.56023783062903	0	1.1	1.1	53.40803171075054	5.340803171075052		dr
25.53600592485076	42.088604586806 	-16.55259866195524	73.477506374683	67.68949952048855	50.21927240929915	4.578641687197011	-9.143803729054646	1	51	361.76008393538575	27	0	1.1	39.47201881780065	-5.605897745440094		dr
66.20474568526099	59.58427111673491 	6.6204745685260775	67.18481806023165	67.03133945428739	66.25535979941282	0.4656877811127913	-0.3096070456689593	0	27	496.5355926394574	27	0	1.1	48.382927773620764	-1.5304403074513704		dr
26.744608313014623	32.95010148397887 	-6.205493170964246	65.32980135658022	63.997841791427504	34.81087017907864	2.017743124781886	-9.23585196159812	0	39	289.7332567243251	27	0	1.1	42.97334790846923	-2.6992035233295892		dr
62.513969017164406	56.26257211544797 	6.251396901716433	68.1709687087441	67.20068048857952	64.2190284956952	5.596879062739203	-1.312681044474303	0	27	468.85476762873304	27	0	1.1	46.881472130208266	-0.9090834383203849		dr
64.9478987741105	58.45310889669944 	6.494789877411058	65.94051877270502	65.74353002422497	64.58414291560568	0.45212528569977906	-0.4374175686041563	0	27	487.1092408058287	27	0	1.1	49.8925432375253	0.3248954476348557		dr
62.3718368598867	56.13465317389803 	6.2371836859886685	64.45313031519353	64.12719399696957	62.65088574989587	0.9880547222628877	-2.0526338947507816	0	27	467.7887764491502	27	0	1.1	51.67529946929121	1.1695080531139719		dr
63.001529219882926	56.70137629789464 	6.3001529219882855	64.46281399291402	64.33832089083967	63.058344378994946	0.9017108360371372	-0.9283626573334397	0	27	472.5114691491219	27	0	1.1	53.091078188115176	1.810838661723261		dr
63.56863064950791	57.211767584557116 	6.356863064950794	65.22430611631707	64.21499926853042	63.709373062019296	0.5543018218179986	-0.5047439823999463	0	27	476.7647298713093	27	0	1.1	54.25525068382548	2.315952484304098		dr
63.11295743536938	56.80166169183245 	6.311295743536931	64.83034548293108	64.50340009249005	62.96369361956752	0.5037175519191521	-0.836064759599239	0	27	473.34718076527037	27	0	1.1	55.14102135897987	2.7154868102273815		dr
43.920138614015116	39.52812475261361 	4.392013861401509	62.24930044316369	60.32125042040199	45.3862396027106	5.922359946911487	-5.394428415046313	0	27	329.4010396051134	27	0	1.1	54.120941109437624	2.86789836033412		dr
34.459293007679	36.2100417523216 	-1.7507487446425998	56.436245347166576	54.57584647630855	48.47124937891908	3.707113406051827	-1.5899594003644306	0	33	315.87685257039084	27	0	1.1	52.482470434291066	2.4830111015860603		dr
48.07538044201494	43.26784239781345 	4.807538044201486	50.195277660867426	49.96232571147136	47.71079090073131	1.349124312988529	-1.1163512950595258	0	27	360.565353315112	27	0	1.1	52.14346351180829	2.661820866402631		dr
18.405459320767427	22.857359997302655 	-4.451900676535228	53.304652247458925	41.89559362507981	22.465002769657158	4.107624620640016	-6.692686283817221	1	39	199.39247597498044	18	0.5	0	49.73360606959109	2.1536978990499267		dr
17.13114618805252	24.312313000726228 	-7.181166812673709	42.79235844469781	39.66656153131768	26.734950580922987	3.5735293795361884	-3.630442665400276	1	45	214.1393273506565	21	0.3333333333333333	0	47.56010874415519	1.5313735849350179		dr
28.374064898732428	25.536658408859186 	2.837406489873242	36.08105323003583	32.960158775254385	29.40495931556078	0.45035472596617154	-2.2253646765363855	0	27	212.8054867404932	21	0.3333333333333333	0	46.36098100381626	1.6130006414936569		dr
8.003101049071677	16.184342950400712 	-8.181241901329035	30.63868358023207	28.051088949133113	21.74358189707416	2.9650338943859693	-5.021202047241039	1	69	153.39277010720716	24	0.25	0	44.10463512412541	1.036868727209969		dr
25.085036204411395	22.576532583970256 	2.5085036204411395	38.739182796281135	34.73168112745615	25.38084390010343	3.4546127074518793	-3.1281937868020364	0	27	188.13777153308544	24	0.25	0	43.04799073969685	1.1186262212783675		dr
49.87640651138028	44.88876586024225 	4.98764065113803	57.449360667278455	55.66555240467914	52.09752169160908	3.5622237050242447	-2.2230044247045506	0	27	374.0730488353521	24	0.25	0	43.40738104346966	1.322258559692034		dr
19.58290623179391	18.247072342303596 	1.3358338894903135	34.7457433698437	29.845080215332263	21.37334223184494	3.339584723831989	-3.8484349835801464	0	24	130.55270821195938	24	0.25	0	42.216157302885875	1.322937326181948		dr
