_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
29.04573678379091	26.141163105411824 	2.904573678379087	37.55632625852048	33.3555345875937	26.98423545058928	4.696044200219923	-10.871313417569656	0	9	72.61434195947727	0	1.1	1.1	29.04573678379091	2.904573678379087		dr
11.561423686699664	10.405281318029699 	1.1561423686699648	15.357106879160293	15.179734079591817	12.518766503548507	6.588771828536877	-9.427106851876296	0	9	28.903559216749162	0	1.1	1.1	20.30358023524529	2.030358023524526		dr
33.516895073849966	30.165205566464966 	3.351689507385	44.49762964511479	42.50586790583673	35.80494198467212	11.859986886571527	-5.929998145063088	0	9	83.79223768462491	0	1.1	1.1	24.70801851478018	2.4708018514780172		dr
43.17302248876679	39.318522469147624 	3.8545000196191666	66.32864270623281	61.81411041722149	47.43996259650887	15.92368244319944	-24.233732764474468	0	10	119.92506246879664	0	1.1	1.1	29.32426950827683	2.8167263935133047		dr
16.11399722146204	14.50259749931584 	1.6113997221461993	22.248802530346524	20.264582557832757	15.357097791172178	7.934487598181374	-6.462097692023599	0	9	40.2849930536551	0	1.1	1.1	26.682215050913875	2.5756610592398834		dr
16.1400184161552	14.526016574539677 	1.614001841615524	24.765440179397913	23.022046233563003	16.30190879104635	6.850265113908852	-8.463531388351562	0	9	40.350046040388	0	1.1	1.1	24.9251822784541	2.415384522969157		dr
11.329068064599722	10.928317897688899 	0.4007501669108233	24.045010009550946	20.037508342142193	12.382716316276895	4.007501666559012	-8.37521430510277	1	10	31.46963351277701	0	1.1	1.1	22.98288024790347	2.1275796149608235		dr
21.46896603364471	20.849830279755864 	0.6191357538888447	40.18454760948055	39.13589799080021	17.091665904842635	22.98335437402771	-12.337270977131023	0	10	59.63601676012419	0	1.1	1.1	22.793640971121125	1.9390241323268262		dr
45.90807817622087	41.317270358598776 	4.590807817622093	52.09752169075934	49.45629091371726	44.182114518992876	4.00750166910823	-3.897972932961899	0	9	114.77019544055216	0	1.1	1.1	25.361911771687762	2.2336667640263004		dr
49.094913061745636	44.18542175557108 	4.909491306174559	56.10502335986757	53.71273398235926	48.09002002420033	8.01500333821646	-7.999708900894291	0	9	122.7372826543641	0	1.1	1.1	27.73521190069355	2.501249218241126		dr
50.43135059311766	45.3882155338059 	5.043135059311766	56.18330323936781	54.90740337198826	52.18181442471116	8.351365161637304	-7.915416173955009	0	9	126.07837648279416	0	1.1	1.1	29.798497236368465	2.732329749247548		dr
54.26143631332152	48.83529268198937 	5.426143631332145	64.1885298432921	59.46736352058008	52.43386946757037	11.754665910851429	-6.158269704300324	0	9	135.6535907833038	0	1.1	1.1	31.83707549278122	2.956814239421264		dr
50.582525466519876	45.52427291986789 	5.058252546651985	57.2577525190219	53.76729982851672	50.322815176245065	7.161408427549098	-6.703401748382937	0	9	126.45631366629968	0	1.1	1.1	33.27903318306881	3.1184633399774735		dr
51.478836448199004	46.330952803379105 	5.147883644819899	59.58907736559972	56.50632591070714	50.13197936924257	4.705811727287831	-4.705884397148431	0	9	128.6970911204975	0	1.1	1.1	34.57901913057811	3.2634219331805037		dr
55.66814542354956	50.101330881194606 	5.566814542354955	59.588927517438655	58.81153293870787	55.10818758985787	4.767703815600065	-7.125548867094153	0	9	139.1703635588739	0	1.1	1.1	35.984960883442874	3.4169814404588004		dr
38.91005904005319	35.01905313604787 	3.8910059040053184	55.10777278000603	49.400364027215005	40.516587041928396	0	-9.906878347938807	0	9	97.27514760013298	0	1.1	1.1	36.167779518231015	3.446607969430458		dr
19.945058665715187	17.95055279914367 	1.9945058665715187	39.019572610808055	34.333653120587336	18.23322235705607	10.521379542413381	-2.9645604743319343	0	9	49.862646664287965	0	1.1	1.1	35.2135018210242	3.3611901986740493		dr
50.80721582365713	45.72649424129142 	5.080721582365712	57.25183235926154	55.72680863993205	53.179745751889996	8.732853210026576	-6.046009770247615	0	9	127.01803955914284	0	1.1	1.1	36.07981926561492	3.456719719990253		dr
57.62344215746131	51.86109794171519 	5.7623442157461255	62.9265136572746	61.23658366888526	57.252294024731825	5.246900974178061	-6.412608100883965	0	9	144.0586053936533	0	1.1	1.1	37.21369415465947	3.5780683776616145		dr
30.81270033469798	27.73143030122818 	3.0812700334697993	50.09586371982052	44.81983126198205	26.590270821412496	8.434788468020404	-7.813529193347186	0	9	77.03175083674495	0	1.1	1.1	36.893644463661396	3.5532284604520243		dr
23.53277727416485	21.179499546748367 	2.353277727416483	34.89422582872009	32.17719697325375	24.924406435346746	4.028056343671832	-9.012956664070291	0	9	58.83194318541213	0	1.1	1.1	36.257412692732984	3.496087949355094		dr
1.3083622138771003	3.613880411078867 	-2.3055181972017667	9.96975389611342	8.55133055086274	4.007501666559015	5.962252229554406	-5.69689766578078	0	36	13.083622138771002	31	0	1.1	34.668819489148625	3.232378579057055		dr
5.608071896958514	4.673393247465429 	0.934678649493085	9.96974942006545	7.370380212217622	4.984875129872659	4.98487429019279	-7.00514093725479	0	5	7.788988745775715	31	0	1.1	33.405308724270796	3.1324785821194907		dr
