_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
9.042123510052072	8.84174842672412 	0.20037508332795184	23.284328115739484	17.76401272106393	8.545843726953613	23.284328115739484	-10.067306633433127	2	10	25.117009750144646	2	1	1	9.042123510052072	0.20037508332795184		bus
2.251844571039379	4.447639236851248 	-2.1957946658118686	32.12089148110464	11.593204520329445	0.8015003338216461	6.2638782294565996	-0.5539004218185112	0	49	30.65010666136933	24	0.5	1	5.646984040545726	-0.9977097912419584		bus
38.421639813227266	25.61442654215151 	12.807213271075756	56.80577128601181	38.421639813227266	38.421639813227266	36.76826294556909	0	0	2	21.345355451792926	24	0.5	1	16.57186929810624	3.603931229530613		bus
40.12067667535005	26.747117783566697 	13.37355889178335	48.18134000038347	40.12067667535005	40.12067667535005	0	-16.121326650066848	0	2	22.289264819638916	24	0.5	1	22.45907114241719	6.046338145093797		bus
36.06751501687564	24.045010011250426 	12.022505005625213	36.06751501687564	36.06751501687564	36.06751501687564	0	0	0	2	20.037508342708687	24	0.5	1	25.180759917308883	7.2415715172000805		bus
26.716677791505653	20.037508343629238 	6.679169447876415	28.052511681208394	26.71667779150565	28.052511681208394	0	-4.00750166910823	0	3	22.26389815958804	24	0.5	1	25.43674622967501	7.14783783897947		bus
16.981320450574696	14.151100375478912 	2.8302200750957844	24.04501001464938	22.781907457477786	20.25570234823303	11.709825808558595	-16.03000666878527	0	5	23.585167292464853	24	0.5	1	24.228828261232106	6.5310353012818		bus
26.71667779065591	20.037508342991934 	6.679169447663977	40.07501668853308	26.71667779065591	20.037508342991934	20.037508348090366	-20.03750834554115	0	3	22.263898158879925	24	0.5	1	24.539809452410083	6.549552069579573		bus
4.135487921581121	4.765151175006127 	-0.6296632534250062	16.853402015679933	14.575184690509673	2.492584502003338	8.838394548685876	-3.5026170902574	0	20	22.974932897672897	15	0.3333333333333333	1	22.27266261565131	5.751861478134619		bus
16.150207716104738	13.458506430087278 	2.6917012860174605	23.720880982722548	20.341436347201707	17.79066073326992	9.75638559004463	-9.542419522262138	0	5	22.430844050145467	15	0.3333333333333333	1	21.660417125696654	5.4458454589229035		bus
11.356619110691426	9.937041721854998 	1.4195773888364283	21.139130669039794	17.918456906346623	11.860449898254853	6.875275578829029	-3.348452996573549	0	7	22.08231493745555	15	0.3333333333333333	1	20.723708215241633	5.079821088915042		bus
11.584069364331897	9.929202312284485 	1.654867052047413	18.236453367539905	14.974155214442865	11.860449900140994	6.791275685849754	-11.860449894482464	0	6	19.306782273886494	15	0.3333333333333333	1	19.96207164433249	4.794408252509407		bus
24.01231667124676	19.209853336997405 	4.802463334249357	30.71534709050984	25.51216216191648	22.9105696976198	8.88053608037822	-2.1515173749763576	0	4	26.680351856940845	15	0.3333333333333333	1	20.273628954095123	4.795027874181711		bus
35.993669681473605	23.99577978764907 	11.997889893824535	39.371024498305275	35.993669681473605	35.993669681473605	6.754709633663332	0	0	2	19.996483156374225	15	0.3333333333333333	1	21.39648900605073	5.309518018441913		bus
22.73259390981857	17.049445432363928 	5.68314847745464	29.65120944709691	22.732593909818572	23.72096755692356	0	-8.89536283148832	0	3	18.94382825818214	15	0.3333333333333333	1	21.485562666301917	5.334426715709427		bus
7.086274380153696	6.962727752530334 	0.12354662762336144	16.853447549848106	13.811817134704713	5.9302400042758165	8.895358600477026	-8.273846651884504	1	12	23.620914600512318	10.5	0.5	0.5	20.58560714841765	5.008746710204048		bus
23.664334535246223	18.931467628196977 	4.732866907049246	27.86372049725392	25.622205097883846	24.501447398198806	6.724538087966518	-0.000008110143706829831	0	4	26.293705039162468	10.5	0.5	0.5	20.766708759407567	4.992518486489059		bus
31.133730393083997	20.755820262055995 	10.377910131028003	32.616288985386255	31.133730393083994	31.133730393083994	0	-2.965117184604523	0	2	17.296516885046664	10.5	0.5	0.5	21.342654405722925	5.291706911185667		bus
34.098836753560846	22.73255783570723 	11.366278917853617	35.58139486967239	34.098836753560846	34.098836753560846	2.9651162322230817	0	0	2	18.94379819642269	10.5	0.5	0.5	22.014032424030187	5.611421227326086		bus
31.13371557508937	20.755810383392912 	10.377905191696456	32.616273457820924	31.13371557508937	31.13371557508937	2.965115765463107	0	0	2	17.296508652827427	10.5	0.5	0.5	22.470016581583145	5.849745425544604		bus
33.148356802965	22.098904535309995 	11.049452267655003	35.58138922328391	33.14835680296499	33.14835680296499	0	-4.866064840637829	0	2	18.415753779424996	10.5	0.5	0.5	22.978508973077517	6.097350513264147		bus
29.65114827793536	19.76743218529024 	9.88371609264512	29.65114827793536	29.65114827793536	29.65114827793536	0	0	0	2	16.472860154408533	10.5	0.5	0.5	23.281810759661962	6.269458039599646		bus
27.764272463455168	20.823204347591375 	6.941068115863793	29.920742021249854	27.764272463455168	29.65115297948861	5.930230589861576	-6.19981963162282	0	3	23.136893719545974	10.5	0.5	0.5	23.47670039895732	6.298658477698088		bus
18.328194658418983	14.662555726735187 	3.6656389316837963	20.75581038465108	20.484107695084607	20.34825635030137	0	-8.080246775074114	0	4	20.36466073157665	10.5	0.5	0.5	23.26217932643489	6.188949329947492		bus
