A A C A A A F J F XXX NA NA A B dr
C C D B B C I J T XXX NA NA B C dr
C C D A A B A A T A A 0 C C dr
C B D A A B A A T A A 0 C D dr
D C E B B B N I T A A 0 C D dr
B B D A A B I B T A A 0 C D dr
C B E B B B J P T A A 0 C D dr
B B C B B B L I F A A 0 C D dr
F F D E E F R R F A A 0 C D dr
C B E B B B L B T A A 0 C D dr
E E D D D E N O F A A 0 C D dr
