_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
22.52124845293771	20.47386222994337 	2.047386222994337	29.90944977818544	28.870937139418444	23.115073054171752	9.729107873745292	-5.925845608467515	0	10	62.55902348038252	0	1.1	1.1	22.52124845293771	2.047386222994337		bus
21.941122453968138	19.74701020857133 	2.194112245396809	31.7281678720189	30.567786523276755	25.637214772617735	3.4811286561791484	-9.33536173411596	0	9	54.85280613492035	0	1.1	1.1	22.231185453452923	2.120749234195573		bus
1.7267907684526063	2.770490838283783 	-1.0437000698311767	8.01500333821646	5.540981676567566	0.5929383558189928	4.007501667833623	-8.01500333821646	0	11	5.276305125827408	0	1.1	1.1	15.396387225119485	1.0659327995199899		bus
10.765782633303369	12.431622672651446 	-1.665840039348078	37.14795593543115	16.575496896868597	11.242700865471894	6.476313767489813	0	1	8	23.92396140734082	7	1	0	14.238736077165456	0.38298958980297293		bus
39.232319021554886	35.30908711939939 	3.923231902155493	48.723290959216655	44.7599302533325	38.19082005269148	13.402136893703869	-8.524380405115657	0	9	98.08079755388722	7	1	0	19.237452666043342	1.0910380522734768		bus
24.214274099692194	21.792846689722975 	2.421427409969219	36.73535819141619	35.61314114160035	23.984142213562443	2.810141833687389	-9.384581847471338	0	9	60.53568524923048	7	1	0	20.066922904984818	1.3127696118894339		bus
3.6620081100013593	3.9344616812692945 	-0.27245357126793524	8.894284298157059	8.661937413729413	4.007501669108231	4.538262058052088	-7.063384187302435	0	9	9.155020275003398	6	1	0	17.723363648558607	1.086309157152667		bus
14.52818246092024	10.896136845690181 	3.6320456152300586	26.6828613615043	24.883744718205495	18.251021364758884	12.517860610904956	0	1	6	24.213637434867067	5	1	0	17.323966000103812	1.404526214412341		bus
10.887992954384437	10.665353972767312 	0.22263898161712525	20.896437208266793	19.5123283636644	12.662953499573904	17.931672481346983	-12.391204206923234	1	9	27.219982385961092	5	1	0	16.60885788391277	1.273205410768428		bus
8.573300909158556	3.322832377069559 	5.2504685320889966	8.96662171393162	4.9842485656043385	4.9842485656043385	1.9911865741636405	0	1	81	192.89927045606748	5	1	0	15.805302186437348	1.670931722900485		bus
35.07145060870951	31.564305547838565 	3.507145060870947	45.18824090871746	43.310995733480496	34.89489000008814	13.656409880700409	-14.823920103402784	0	9	87.67862652177378	5	1	0	17.556770224825726	1.8378602081705269		bus
22.337250651993276	20.10352558679395 	2.2337250651993266	38.99510019879317	34.19987975701215	24.045010009550946	12.022505002226254	-19.060005851544606	0	9	55.84312662998319	5	1	0	17.955143593756357	1.8708489462562603		bus
7.372074953503572	6.634867458153215 	0.7372074953503569	16.03000667643292	13.59845794665331	8.545790174783503	8.545790174783503	-12.022505007324693	1	9	18.43018738375893	5	1	0	17.14106139065999	1.7836457577250369		bus
9.08571751745766	8.169102378977929 	0.916615138479731	20.896475937210084	16.678137655395528	8.54579017347489	20.896475937210084	-14.966810007556791	1	10	25.238104215160163	4.5	1	0.25	16.565679685431252	1.7217149992075151		bus
12.800322504093899	11.520290253684509 	1.2800322504093895	24.925073965225582	22.772894790673664	14.824204814507462	17.463190575633305	-12.022505002226259	1	9	32.00080626023475	4	1	0.4	16.314655873342094	1.6922694826209734		bus
30.870300748116392	27.783270673304752 	3.08703007481164	38.995222742073324	36.95612463914667	29.910139974782236	8.53885101407354	-13.357810092510814	0	9	77.17575187029098	4	1	0.4	17.22438367801549	1.7794420196328902		bus
14.679555522416035	13.211599970174433 	1.4679555522416017	25.637416565463326	21.964253121415734	12.382697832892788	4.367693596664246	-10.317372038713184	0	9	36.69888880604009	4	1	0.4	17.074687904156697	1.761119286256932		bus
18.60804834425133	16.7472435098262 	1.8608048344251316	32.60378968134593	28.753262775588027	17.091632924788417	20.219613607988357	-16.573783007462225	0	9	46.520120860628325	4	1	0.4	17.159874595273063	1.7666573722662764		bus
33.86216391914247	30.475947527228225 	3.3862163919142425	41.05025753593617	39.95040156109917	35.78527074790268	6.8034319630220566	-16.417681719020656	0	9	84.65540979785617	4	1	0.4	18.038942454424085	1.8518973206688012		bus
32.35797426548944	29.122176838940504 	3.2357974265489347	47.43905912033357	43.61512306773226	29.919012017729443	5.929880504949081	-14.82470126803023	0	9	80.8949356637236	4	1	0.4	18.754894044977352	1.9210923259628079		bus
