_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
9.31205745639736	7.255315688091765 	2.056741768305595	16.853559308232608	9.67375425078902	6.1109171372620485	0	-3.5808807236568527	0	10	25.866826267770442	0	1.1	1.1	9.31205745639736	2.056741768305595		wk
3.303585912229295	2.2414970390622573 	1.062088873167038	4.007501668598387	3.362245558593386	3.362245558593386	0.21508537000166697	0	0	11	10.09429028736729	0	1.1	1.1	6.3078216843133275	1.5594153207363164		wk
5.627651856211776	3.751767904141184 	1.875883952070592	6.191376832769036	5.627651856211776	5.627651856211776	0	-0.2818624882786298	0	8	12.505893013803947	0	1.1	1.1	6.081098408279477	1.6649048645144084		wk
5.036651852920177	3.3577679019467848 	1.6788839509733924	5.063926620729675	5.036651852920177	5.036651852920177	0.013637383904749	0	0	8	11.19255967315595	0	1.1	1.1	5.819986769439652	1.6683996361291544		wk
3.7129277097676905	3.0402835662729415 	0.672644143494749	6.679169448513716	4.560425349409412	4.560425349409412	0	-1.4124960660695358	0	10	10.313688082688028	0	1.1	1.1	5.398574957505259	1.4692485376022735		wk
5.788613521195482	3.9407099740282754 	1.8479035471672067	7.013127919664795	5.911064961042413	5.911064961042413	0	-0.5510314793111906	0	9	14.471533802988706	0	1.1	1.1	5.463581384786963	1.5323577058630955		wk
5.746028251488441	4.133215512329433 	1.6128127391590077	8.015003336516983	6.19982326849415	6.19982326849415	0	-1.2101200453485559	0	8	12.768951669974312	0	1.1	1.1	5.503930937172888	1.543851282048226		wk
5.188880956060814	3.6898709019200346 	1.4990100541407791	6.918507940157007	5.534806352880052	5.534806352880052	0.5534806349107819	0	0	8	11.53084656902403	0	1.1	1.1	5.464549689533879	1.538246128559795		wk
5.506568418990857	3.78870733112792 	1.717861087862937	6.918509040599035	5.6830609966918795	5.6830609966918795	0	-0.8236320292714367	0	7	10.70721637026	0	1.1	1.1	5.469218437251321	1.5582033462601441		wk
4.612338628028749	3.1133285738879706 	1.4990100541407787	5.188880956060814	4.669992860831956	4.669992860831956	0	-0.2594440476144291	0	9	11.530846570071873	0	1.1	1.1	5.383530456329064	1.5522840170482077		wk
5.236798655945897	3.491199103963931 	1.7455995519819658	5.284717179276544	5.236798655945897	5.236798655945897	0	-0.023959261665323472	0	8	11.637330346546438	0	1.1	1.1	5.370191201748776	1.5698581565876402		wk
