D D C C D D R O F XXX NA NA C B wk
E F C E E E R XXX F XXX NA NA D B wk
E E C E E E R R F XXX NA NA D B wk
E E C E E E R XXX F XXX NA NA D B wk
E E C E E E R Q F XXX NA NA D B wk
E E C E E E R R F XXX NA NA D B wk
E E C D E D R Q F XXX NA NA D B wk
E E C E E E R XXX F XXX NA NA D B wk
E E C E E E R R F XXX NA NA D B wk
E E C E E E R R F XXX NA NA D B wk
E E C E E E R R F XXX NA NA D B wk
