_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
4.366046123098518	5.675950806892497 	-1.3099046837939792	14.825007132185542	14.181589099161123	5.930000034828272	10.440429623302688	-11.860005701221825	0	42	50.93720476948271	11	0.5	0	4.366046123098518	-1.3099046837939792		wk
6.626690776782236	6.248101902877911 	0.3785888739043246	12.022505006050082	10.511554949734498	5.92999815260936	7.037398415055076	-6.791075996454746	0	27	49.70018082586677	11	0.5	0	5.496368449940377	-0.4656579049448273		wk
7.525392020235737	7.27492316596958 	0.25046885426615706	12.022505007324693	12.022505006474953	8.01500333821646	9.970218501615944	-8.015003338216463	1	24	50.16928013490491	4	0.6666666666666666	0.5	6.172709640038829	-0.2269489852078325		wk
3.9032020214708685	5.034997145531691 	-1.1317951240608228	16.301918889348876	15.24579700096775	4.007501669108231	7.3976085799934275	-8.375228057769547	0	47	50.95847083586967	6	0.7142857142857143	0.4	5.605332735396839	-0.4531605199210801		wk
4.23656438761901	6.1377041812805 	-1.90113979366149	17.091734793072	15.138720475541945	4.985135977283248	7.299582071712246	-9.07673145485554	0	38	44.71929075820066	6.5	0.625	0.4	5.331579065841273	-0.7427563746691621		wk
1.3933248134585485	5.818495213435728 	-4.42517039997718	26.685698898546608	18.599983486193395	4.007501669108231	9.076743214492424	-15.087995718154769	0	160	61.92554726482438	9	0.5	0.4	4.67520335711082	-1.3564920455538318		wk
4.556115863022089	5.1553898671034855 	-0.5992740040813969	12.382740767106004	9.824826928513994	4.140218378649074	4.187619548998887	-4.538369155208053	0	39	49.35792184940596	11	0.45454545454545453	0.4	4.658190857955286	-1.2483180396291982		wk
4.003839060112455	4.199709622418198 	-0.1958705623057435	12.022505007324693	10.686671117621948	4.007501669108231	8.015003338216463	-8.015003340765677	0	44	48.93581073470778	9	0.5	0.42857142857142855	4.576396883224932	-1.1167621049637662		wk
5.845392761881618	5.948890297627279 	-0.10349753574566112	16.030006673883705	13.35833889532796	6.011252503662346	8.015003335667245	-12.022505007324693	0	30	48.71160634901348	7	0.5333333333333333	0.375	4.717396425297897	-1.0041771528284211		wk
6.86201077255633	7.077257441973514 	-0.2152466694171844	14.95533741108844	14.528022880807216	8.015003335667245	9.329253685757124	-7.273749098414297	0	26	49.5589666906846	7	0.5625	0.3333333333333333	4.931857860023741	-0.9252841044872973		wk
6.577530173659997	6.75448643776463 	-0.17695626410463294	16.887879488477886	14.39185901756756	5.930003799263928	8.384325179025687	-10.957875696758238	0	27	49.33147630244997	7	0.5882352941176471	0.3	5.081464433990673	-0.857254300816146		wk
5.547388704447686	5.3740328074336965 	0.17335589701398924	12.382723867162762	9.361911813830531	5.930001917046462	6.452725722097674	-4.192163141920538	0	31	47.769180510521736	7	0.5882352941176471	0.3	5.120291456528757	-0.7713701176636346		wk
3.874647574765311	4.420219422870575 	-0.5455718481052645	11.973350763464605	9.80472684397487	4.985103798610154	5.929987792848169	-8.545846665634405	0	46	49.50938567755675	7	0.6666666666666666	0.21428571428571427	5.024472696393108	-0.7540010200052986		wk
3.6277609906534773	7.2035303119095495 	-3.575769321256072	30.714188777509037	18.655513432759353	1.6617021969983352	4.369469599726275	-9.959208435891394	0	23	23.177361884730548	7	0.6363636363636364	0.21428571428571427	4.924707574554562	-0.955555898666068		wk
