B B C A A B H H F XXX NA NA B B bus
E E D D D E I K F A A 0 C C bus
E E D C C F H E F B A 0 C C bus
C C D B B C N F T B A 0 C C bus
B B D A A A A C T A A 0 C C bus
A A C A A A F B F A A 0 C C bus
C C C B C C J I F A A 0 C C bus
C C D B B D O J T A A 0 C C bus
F E D D E F L M F A A 0 C C bus
C C C C C C C K F A A 0 C C bus
B B C A B B F F F A A 0 C C bus
