_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
37.53627091022949	42.36742657969811 	-4.831155669468622	71.60974369392383	69.52879296518383	44.655070880842025	8.894978871589203	-2.9455801677554234	0	21	218.96158030967203	0	1.1	1.1	37.53627091022949	-4.831155669468622		dr
61.62490620678318	56.4894973562179 	5.135408850565277	68.31238523435012	66.33927450576518	60.506142426645354	4.029062158210365	-5.916451468577932	0	11	188.29832452072637	0	1.1	1.1	49.580588558506335	0.15212659054832756		dr
59.83786855630577	54.85137950994695 	4.98648904635882	63.41462686637555	63.202472846963694	59.83861626516861	5.8763649424372275	-5.1751193658641625	0	11	182.83793169982317	0	1.1	1.1	52.99968189110615	1.7635807424851582		dr
57.324606022685366	52.915020944017265 	4.409585078668101	64.29442622922267	61.18908886890362	56.90155456998677	4.45608976063609	-5.466707285514644	0	12	191.0820200756179	0	1.1	1.1	54.080912924000955	2.425081826530894		dr
56.461093192799886	52.11793217796913 	4.343161014830756	63.413870065257846	60.834690657784705	56.31278502891764	6.512634150086122	-9.446441995920182	0	12	188.20364397599963	0	1.1	1.1	54.55694897776074	2.8086976641908663		dr
51.984682045837836	48.271490471135124 	3.713191574702712	66.32720720348217	64.38479809328858	59.43388417721239	8.724860493912658	-17.731826160272952	0	13	187.7224629433033	0	1.1	1.1	54.12823782244025	2.959446649276174		dr
49.87032006826197	48.68434998978244 	1.185970078479528	68.31095906614294	68.23252767155778	57.887230494707666	11.85969889497197	-2.841930948792637	0	15	207.79300028442486	0	1.1	1.1	53.519963857557634	2.7060928534480815		dr
63.17686693200071	57.91212802100066 	5.264738911000052	65.3514223613325	65.26942875302662	62.39236808282572	2.4511835491375464	-2.8360887615863035	0	11	193.04042673666885	0	1.1	1.1	54.72707674186302	3.025923610642078		dr
17.60881919234554	38.24811426857262 	-20.639295076227082	62.39239767475298	60.329889674037624	43.17813832660423	15.017680081202176	-19.835499609823007	1	39	190.76220791707667	23	0	1.1	50.60282590302775	0.3964548676566157		dr
62.62870434433619	57.40964564897485 	5.2190586953613405	68.19358255063402	66.2989606416328	65.22864417476895	8.873403542967615	-2.9649383758650742	0	11	191.3654854965828	23	0	1.1	51.805413747158596	0.8787152504270882		dr
66.46281358030589	60.42073961845988 	6.0420739618460075	68.31131561548764	68.27209652177145	66.7726746634394	3.0879358029629174	-2.964940724924446	0	10	184.6189266119608	23	0	1.1	53.13790464108108	1.3481114969197172		dr
13.69050797687096	34.62407461159989 	-20.933566634728926	65.22873734684933	63.29505547911058	35.80432474846948	16.83279527919791	-12.084761307582607	1	50	190.14594412320776	27	0	1.1	49.85062158573024	-0.508695014051003		dr
12.220167145469725	30.06980860853605 	-17.849641463066327	60.1125250289758	56.237299487467375	28.052511681208394	12.022505004775475	-11.226248831545114	1	60	203.66945242449543	31	0	1.1	46.95597124417174	-1.8426139716675665		dr
35.75534118507336	37.48127350787272 	-1.725932322799359	64.12002669808403	58.802789398199025	44.08251835381749	8.290424668295486	-15.309520395145146	0	19	188.70874514344274	31	0	1.1	46.155926239950425	-1.8342795681769801		dr
70.20590605338217	63.823550957620135 	6.38235509576203	88.36426109259915	80.29330610965609	70.13127919919717	24.244234397064332	-11.991135559089543	0	10	195.01640570383933	31	0	1.1	47.75925822751254	-1.2865039239143796		dr
36.793671860286985	37.28702227419599 	-0.49335041390900614	68.12752836719226	66.79169447663976	34.1246086242671	7.893314454325306	-19.915819461649996	0	18	183.9683593014349	31	0	1.1	47.07390907956094	-1.2369318295390437		dr
23.76150080117984	23.075687718560246 	0.6858130826195925	36.06751501687564	33.44146170259794	28.740889312112458	4.144345059393174	-9.488059752749177	0	10	66.00416889216622	31	0	1.1	45.702590945538525	-1.1238291876473592		dr
