_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
41.55742739754722	57.379167374981726 	-15.821739977434504	86.30056345410159	85.19301020966087	74.1296960536933	14.815057928333616	-17.267598932497258	2	120	1385.2475799182407	13	0.5	0	41.55742739754722	-15.821739977434504		dr
44.75357958872786	61.159022046224244 	-16.405442457496385	90.32516732639759	90.11697650632816	62.352630574001964	12.144898985789908	-17.92850371543227	1	119	1479.3544364051709	18	0.3333333333333333	0	43.155503493137545	-16.113591217465444		dr
65.76695488649564	80.32098188444 	-14.554026997944362	112.5973214396029	106.69692751755605	88.89262218978322	20.741611846889512	-14.81543232053059	1	119	2173.9632309702724	21.5	0.25	0	50.692653957590245	-15.593736477625084		dr
94.4103499825422	93.62359706602102 	0.7867529165211806	103.78574778692482	103.73398837314244	94.9035302416861	19.82007370051798	-13.119777974850592	0	119	3120.7865688673674	21.5	0.25	0	61.62207796382823	-11.498614129088518		dr
95.21588960111302	94.38878197951617 	0.827107621596852	106.67382518705686	105.78903937677707	95.15862866859355	18.097094060518614	-14.815632468130858	0	119	3147.4141284812363	21.5	0.25	0	68.34084029128519	-9.033469778951444		dr
72.20290206051497	79.78000890355679 	-7.577106843041818	115.73204259468507	112.87431901459217	88.89508742064353	14.81583495571661	-23.194735072938716	1	119	2386.7070403336893	18	0.2	0	68.9845172528235	-8.790742622966507		dr
114.35138561063727	113.31688617611731 	1.034499434519958	136.52741540878517	134.555637893843	112.8006045324922	14.097553954869497	-9.56031543301016	0	119	3779.9485799071763	18	0.2	0	75.46549844679689	-7.387136614754154		dr
127.81757450597952	126.72392899167573 	1.0936455143037875	137.7593457775487	137.4084979461654	127.65699550150615	17.637908086101916	-11.749414721327412	0	119	4225.080935058768	18	0.2	0	82.00950795419472	-6.327038848621911		dr
120.72324653070916	119.78152524141036 	0.9417212892987976	132.75713231130445	132.4284823164197	123.1254054353719	7.868972379389106	-13.402184107783626	0	119	3990.573982542886	18	0.2	0	86.31103446269633	-5.519398833297388		dr
53.184652056597	63.67427423097192 	-10.489622174374915	89.40221842368211	89.17651714773511	65.80906293812303	16.29960055886874	-16.03000667388371	1	120	1772.8217352199	19.5	0.16666666666666666	0	82.99839622208638	-6.016421167405141		dr
21.664581039271813	27.078934979966903 	-5.41435394069509	44.082518352542884	43.2243271581677	32.06001334776741	20.153723473685897	-13.858070244442121	2	119	716.134762131485	15.5	0.125	0	77.42259484183052	-5.961687783158772		dr
20.028706865909605	33.080278612569444 	-13.051571746659839	63.98859996984727	59.07480720326339	36.341023310142575	19.5142844040749	-19.334140688217914	3	118	656.496502827037	14	0.09090909090909091	0	72.63977084383711	-6.5525114467838605		dr
21.187198418541808	24.994520762925823 	-3.8073223443840156	62.77791948888132	60.63853218365751	23.7196951986763	8.463527053956998	-16.603781372173547	0	55	323.6933091721665	14	0.09090909090909091	0	68.68188065727594	-6.341343054291565		dr
