_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
14.616255383195409	23.021489565173653 	-8.405234181978244	54.85271258772065	50.992137400666344	24.13620660567254	14.307681637440801	-10.905594874428195	1	60	243.60425638659012	27	0	1.1	14.616255383195409	-8.405234181978244		dr
68.90303941668571	67.7546554264076 	1.1483839902781199	79.1471581166866	78.67368691680056	69.17051124884158	11.325638637917606	-9.278060798454646	0	59	1129.2442571067936	27	0	1.1	41.75964739994056	-3.628425095850062		dr
89.70587384018336	88.21077594284694 	1.4950978973364215	124.70444235948317	124.6615094976983	83.47693885008536	15.344857147651823	-12.547072055278221	0	59	1470.1795990474493	27	0	1.1	57.74172288002149	-1.9205840981212343		dr
118.17608467032656	116.20648325915445 	1.969601411172107	130.63623894326506	130.5952846603085	118.70474651569137	14.838034555966374	-17.734467910835093	0	59	1936.7747209859074	27	0	1.1	72.85031332759776	-0.9480377207978989		dr
112.83756315329293	110.95693710073806 	1.8806260525548737	127.14005721834387	124.46594740970856	112.85262020270784	16.85172302438481	-14.28743701563603	0	59	1849.282285012301	27	0	1.1	80.8477632927368	-0.38230496612734444		dr
117.06857311355027	115.11743022832451 	1.9511428852257637	127.64433927237485	126.82724977140255	118.6805640757519	18.065127274210738	-15.622231113370944	0	59	1918.6238371387406	27	0	1.1	86.88456492953905	0.006603009098173611		dr
55.275264992528726	63.63447128045205 	-8.359206287923321	115.78339227739936	112.79440426930529	83.34432928319782	17.871523510813233	-18.971187302476437	2	59	905.9001762664429	18.5	0.5	0	82.36895065282329	-1.18851260476204		dr
46.203414951827405	45.4333580359636 	0.7700569158638046	88.16503670763497	80.33237761499966	48.18145457575989	32.060013347767395	-32.06001334776741	0	59	757.2226339327269	18.5	0.5	0	77.8482586901988	-0.9436914146838093		dr
54.12913228038011	53.226980075707125 	0.9021522046729871	88.36445206572208	81.716537104905	52.43424888979189	24.045010014649378	-32.12457438893235	0	59	887.1163345951185	18.5	0.5	0	75.21280020021895	-0.7385976791997209		dr
33.54460060769195	45.912491108378006 	-12.367890500686059	72.19598736311134	69.52670844031944	50.8147265051813	11.931111538507999	-12.122172662002612	1	73	680.2099567670866	18.5	0.5	0	71.04598024096624	-1.9015269613483547		dr
50.53887685533182	49.69656224107629 	0.8423146142555282	61.271999530459304	60.523390501631866	52.09752169330856	8.124608901191174	-12.022505009873903	0	59	828.2760373512715	18.5	0.5	0	69.18169811499948	-1.652086818111638		dr
12.777937632258274	24.19559594356363 	-11.417658311305358	56.1833464452802	53.599755009109	24.045010010825557	9.056952624122161	-12.881835262680307	1	101	358.49213912724605	18.5	0.5	0	64.48138474143771	-2.465884442544448		dr
16.528488127188176	21.458547608669328 	-4.930059481481152	44.86810027489741	42.73242620121031	20.037508341717327	11.175293796915678	-9.970728694634797	1	59	270.88355541780624	19	0.3333333333333333	0	60.79270038649544	-2.655436368616502		dr
21.285121839324816	22.588094476687115 	-1.3029726373622985	41.714124341564855	41.41586499865721	21.835559384693	7.853729280349031	-9.970614514792574	1	59	348.8394968111567	14.5	0.5	0	57.97073049026897	-2.558831816384059		dr
25.936362087475747	27.919618992269314 	-1.983256904793567	43.02163917922565	42.26770930313543	31.56397799198582	24.209487295912158	-16.284280774089243	1	59	425.0681564336303	10	0.6	0	55.835105930082754	-2.5204601556113593		dr
25.096782346176834	25.054534197816945 	0.04224814835988866	56.183326279209254	51.38959623298553	21.6955476048073	16.56469096506827	-12.00119227653704	1	59	411.30837734012033	10	0.6666666666666666	0	53.91396070608864	-2.3602908866131562		dr
5.214134988772899	12.883763617929615 	-7.669628629156716	36.06751501687564	30.724179459764144	13.405721880115951	4.007501671657447	-11.750540670851745	0	41	59.383204038802454	10	0.6666666666666666	0	51.0492650756583	-2.67260487146866		dr
