_avgSpeed	_exSpeed	 DiffAvgExpSpeed	 Max Speed	AvgTop3Speed	_speedMedian	_maxAcceleration	_maxDecceleration	Num Of Stops(including end/start point)	duration	distance	stopDurationMedianSoFar(while moving)	ratio Of Short Stop(while moving)	ratio Of Instant Stop(in short stop)	Avg of AvgSpeed	Avg of DiffAvgExp	label
30.275799772506883	26.84768849461189 	3.428111277894992	48.54799637576348	38.17646982449072	32.990706548854334	0	-6.359223917526094	0	13	109.32927695627484	0	1.1	1.1	30.275799772506883	3.428111277894992		bus
40.27770486713542	30.99494997252615 	9.282754894609269	49.717760733230456	41.3265999633682	41.54764060996602	2.9444140210192913	0	0	8	89.50601081585648	0	1.1	1.1	35.27675231982115	6.35543308625213		bus
59.27760395474286	39.42074379668322 	19.85686015805964	59.86355699361492	59.13111569502483	59.13111569502483	0.7324412985900857	0	0	5	82.3300054926984	0	1.1	1.1	43.27703619812839	10.855908776854633		bus
61.93292738234096	41.76577437479701 	20.167153007543945	66.2273324614683	62.648661562195514	62.648661562195514	2.3857805995151864	0	0	5	86.01795469769577	0	1.1	1.1	47.94100899418153	13.183719834526961		bus
55.69033850490958	36.98310904275833 	18.707229462151254	56.553038267997955	55.474663564137494	55.474663564137494	1.0783747038604616	0	0	5	77.34769236792998	0	1.1	1.1	49.49087489632714	14.288421760051818		bus
55.32417287352702	37.067426464681574 	18.256746408845444	56.985973814499104	55.60113969702236	55.60113969702236	0	-1.3848341174767391	0	5	76.83912899100974	0	1.1	1.1	50.46309122586046	14.949809201517423		bus
55.84700209101388	37.23133472734259 	18.615667363671285	56.44055948772625	55.847002091013884	55.847002091013884	0	-0.3957049311415754	0	6	93.07833681835646	0	1.1	1.1	51.2322213494538	15.47350322468226		bus
62.748893263986886	41.92387560888516 	20.825017655101725	63.570414160032	62.885813413327746	62.885813413327746	0	-0.6846007467042554	0	5	87.15124064442624	0	1.1	1.1	52.67180533877043	16.142442528484693		bus
48.686509340607365	33.41830221193005 	15.268207128677318	57.33217320433363	50.127453317895075	50.127453317895075	0	-7.204719886438557	0	5	67.62015186195467	0	1.1	1.1	52.22899467230787	16.04530526183943		bus
8.06685443741773	17.63255206043975 	-9.56569762302202	39.92500205116728	23.510069413919666	27.653699489983108	3.0678256402960438	0	0	41	91.87250887059082	0	1.1	1.1	47.81278064881885	13.484204973353282		bus
46.21491667139273	30.809944447595154 	15.404972223797575	49.47319586488336	46.21491667139273	46.21491667139273	2.172186128993753	0	0	6	77.02486111898789	0	1.1	1.1	47.66752028723466	13.658820177939129		bus
4.300917798570223	12.009494058046652 	-7.708576259476429	24.42127755067451	16.012658744062204	22.09356221205393	0.33722009414091414	-5.724535270304086	0	70	83.62895719442102	61	0	1.1	44.05363674651263	11.8782038081545		bus
40.274942855802166	26.84996190386811 	13.424980951934057	42.288410468352176	40.274942855802166	40.274942855802166	0	-1.3423117417000061	0	6	67.12490475967027	61	0	1.1	43.762967985688746	11.997186665368313		bus
31.600400845912787	24.384092553794122 	7.216308292118665	39.956253626643395	32.51212340505884	34.18521877493468	2.6975802403340676	0	0	10	87.77889123864662	61	0	1.1	42.89421318999046	11.655695352993337		bus
9.659525572592003	12.568868286934098 	-2.9093427143420953	29.486754356924223	16.758491049245464	16.637125781413783	2.1416047625850734	0	0	32	85.86244953415112	61	0	1.1	40.67856734883056	10.684692815170974		bus
