C C E A A C A A T A A 0 C D dr
A A C A A A F I F A A 0 B C dr
A A C A A A C B F A A 0 A C dr
A A C A A A B B F A A 0 A B dr
A A C A A A N I F A A 0 A B dr
A A C A A A F C F A A 0 A B dr
B A E A A A L C T A A 0 A D dr
B B C B B B J J F A A 0 A D dr
B B C A A B J J F A A 0 A D dr
B B D A B B N F F A A 0 A D dr
